Summary_Stats	R2	Test_Data	CI_L	CI_U	pEUR	fm1	fm2	Boots_Rep	Radius	N	Label	Sample_N	Size_group
PRS_BBJ	1.67104347198266	HRS_AFR	0.668914777291978	3.045378131166	0.175256730036872	Height~Sex_M+Age+Age2+pEUR+PRS_BBJ	Height~Sex_M+Age+Age2+pEUR	100	1000	159095	BBJ	2241	<200K
PRS_META_ALL	5.23969420436755	HRS_AFR	3.26499145664737	6.58522662569298	0.175256730036872	Height~Sex_M+Age+Age2+pEUR+PRS_META_ALL	Height~Sex_M+Age+Age2+pEUR	100	1000	610373	UKBB+BBJ+META_AFR+PAGE	2241	>600K
PRS_META_ALL2	5.58707910884682	HRS_AFR	3.84209711779613	7.4801381842787	0.175256730036872	Height~Sex_M+Age+Age2+pEUR+PRS_META_ALL2	Height~Sex_M+Age+Age2+pEUR	100	1000	660019	UKBB+GIANT+BBJ+META_AFR+PAGE	2241	>600K
PRS_META_EUR	6.12778005706962	HRS_AFR	4.25794174348199	8.93787958998307	0.175256730036872	Height~Sex_M+Age+Age2+pEUR+PRS_META_EUR	Height~Sex_M+Age+Age2+pEUR	100	1000	613667	UKBB+GIANT	2241	>600K
PRS_META_NEA	5.28458196052464	HRS_AFR	3.66879881843359	7.27785730827617	0.175256730036872	Height~Sex_M+Age+Age2+pEUR+PRS_META_NEA	Height~Sex_M+Age+Age2+pEUR	100	1000	249985	META_AFR+PAGE+BBJ	2241	<300K
PRS_META_AFR	2.03199403476526	HRS_EUR	1.4282081875706	2.74572913875778	1	Height~Sex_M+Age+Age2+PRS_META_AFR	Height~Sex_M+Age+Age2	100	1000	41109	META_AFR	10123	<50K
PRS_META_AFR2	5.3673967429938	HRS_EUR	4.46609490907401	6.10319990373954	1	Height~Sex_M+Age+Age2+PRS_META_AFR2	Height~Sex_M+Age+Age2	100	1000	90890	META_AFR+PAGE	10123	<100K
PRS_UKBB	24.265645953231	HRS_EUR	22.3342816788416	26.2246290365812	1	Height~Sex_M+Age+Age2+PRS_UKBB	Height~Sex_M+Age+Age2	100	1000	360388	UKBB	10123	<400K
PRS_GIANT	10.1112095458037	HRS_EUR	9.14454388071432	11.0807239907874	1	Height~Sex_M+Age+Age2+PRS_GIANT	Height~Sex_M+Age+Age2	100	1000	253280	GIANT	10123	<300K
PRS_PAGE	5.56418964398469	HRS_EUR	4.52454533912364	6.64226897388865	1	Height~Sex_M+Age+Age2+PRS_PAGE	Height~Sex_M+Age+Age2	100	1000	49781	PAGE	10123	<50K
