Alpha	Test	Train	Model	R_sq	Anc2	Anc1
0	PRS1_ML	pmbb_afr	LDpred-Inf	2.01	afr	eur
0.001	PRS1_ML	pmbb_afr	LDpred-Inf	2.01	afr	eur
0.002	PRS1_ML	pmbb_afr	LDpred-Inf	2.02	afr	eur
0.003	PRS1_ML	pmbb_afr	LDpred-Inf	2.02	afr	eur
0.004	PRS1_ML	pmbb_afr	LDpred-Inf	2.02	afr	eur
0.005	PRS1_ML	pmbb_afr	LDpred-Inf	2.02	afr	eur
0.006	PRS1_ML	pmbb_afr	LDpred-Inf	2.03	afr	eur
0.007	PRS1_ML	pmbb_afr	LDpred-Inf	2.03	afr	eur
0.008	PRS1_ML	pmbb_afr	LDpred-Inf	2.03	afr	eur
0.009	PRS1_ML	pmbb_afr	LDpred-Inf	2.03	afr	eur
0.01	PRS1_ML	pmbb_afr	LDpred-Inf	2.04	afr	eur
0.011	PRS1_ML	pmbb_afr	LDpred-Inf	2.04	afr	eur
0.012	PRS1_ML	pmbb_afr	LDpred-Inf	2.04	afr	eur
0.013	PRS1_ML	pmbb_afr	LDpred-Inf	2.04	afr	eur
0.014	PRS1_ML	pmbb_afr	LDpred-Inf	2.05	afr	eur
0.015	PRS1_ML	pmbb_afr	LDpred-Inf	2.05	afr	eur
0.016	PRS1_ML	pmbb_afr	LDpred-Inf	2.05	afr	eur
0.017	PRS1_ML	pmbb_afr	LDpred-Inf	2.05	afr	eur
0.018	PRS1_ML	pmbb_afr	LDpred-Inf	2.06	afr	eur
0.019	PRS1_ML	pmbb_afr	LDpred-Inf	2.06	afr	eur
0.02	PRS1_ML	pmbb_afr	LDpred-Inf	2.06	afr	eur
0.021	PRS1_ML	pmbb_afr	LDpred-Inf	2.06	afr	eur
0.022	PRS1_ML	pmbb_afr	LDpred-Inf	2.07	afr	eur
0.023	PRS1_ML	pmbb_afr	LDpred-Inf	2.07	afr	eur
0.024	PRS1_ML	pmbb_afr	LDpred-Inf	2.07	afr	eur
0.025	PRS1_ML	pmbb_afr	LDpred-Inf	2.07	afr	eur
0.026	PRS1_ML	pmbb_afr	LDpred-Inf	2.08	afr	eur
0.027	PRS1_ML	pmbb_afr	LDpred-Inf	2.08	afr	eur
0.028	PRS1_ML	pmbb_afr	LDpred-Inf	2.08	afr	eur
0.029	PRS1_ML	pmbb_afr	LDpred-Inf	2.08	afr	eur
0.03	PRS1_ML	pmbb_afr	LDpred-Inf	2.09	afr	eur
0.031	PRS1_ML	pmbb_afr	LDpred-Inf	2.09	afr	eur
0.032	PRS1_ML	pmbb_afr	LDpred-Inf	2.09	afr	eur
0.033	PRS1_ML	pmbb_afr	LDpred-Inf	2.09	afr	eur
0.034	PRS1_ML	pmbb_afr	LDpred-Inf	2.1	afr	eur
0.035	PRS1_ML	pmbb_afr	LDpred-Inf	2.1	afr	eur
0.036	PRS1_ML	pmbb_afr	LDpred-Inf	2.1	afr	eur
0.037	PRS1_ML	pmbb_afr	LDpred-Inf	2.1	afr	eur
0.038	PRS1_ML	pmbb_afr	LDpred-Inf	2.11	afr	eur
0.039	PRS1_ML	pmbb_afr	LDpred-Inf	2.11	afr	eur
0.04	PRS1_ML	pmbb_afr	LDpred-Inf	2.11	afr	eur
0.041	PRS1_ML	pmbb_afr	LDpred-Inf	2.11	afr	eur
0.042	PRS1_ML	pmbb_afr	LDpred-Inf	2.12	afr	eur
0.043	PRS1_ML	pmbb_afr	LDpred-Inf	2.12	afr	eur
0.044	PRS1_ML	pmbb_afr	LDpred-Inf	2.12	afr	eur
0.045	PRS1_ML	pmbb_afr	LDpred-Inf	2.12	afr	eur
0.046	PRS1_ML	pmbb_afr	LDpred-Inf	2.13	afr	eur
0.047	PRS1_ML	pmbb_afr	LDpred-Inf	2.13	afr	eur
0.048	PRS1_ML	pmbb_afr	LDpred-Inf	2.13	afr	eur
0.049	PRS1_ML	pmbb_afr	LDpred-Inf	2.13	afr	eur
0.05	PRS1_ML	pmbb_afr	LDpred-Inf	2.14	afr	eur
0.051	PRS1_ML	pmbb_afr	LDpred-Inf	2.14	afr	eur
0.052	PRS1_ML	pmbb_afr	LDpred-Inf	2.14	afr	eur
0.053	PRS1_ML	pmbb_afr	LDpred-Inf	2.14	afr	eur
0.054	PRS1_ML	pmbb_afr	LDpred-Inf	2.15	afr	eur
0.055	PRS1_ML	pmbb_afr	LDpred-Inf	2.15	afr	eur
0.056	PRS1_ML	pmbb_afr	LDpred-Inf	2.15	afr	eur
0.057	PRS1_ML	pmbb_afr	LDpred-Inf	2.15	afr	eur
0.058	PRS1_ML	pmbb_afr	LDpred-Inf	2.16	afr	eur
0.059	PRS1_ML	pmbb_afr	LDpred-Inf	2.16	afr	eur
0.06	PRS1_ML	pmbb_afr	LDpred-Inf	2.16	afr	eur
0.061	PRS1_ML	pmbb_afr	LDpred-Inf	2.16	afr	eur
0.062	PRS1_ML	pmbb_afr	LDpred-Inf	2.17	afr	eur
0.063	PRS1_ML	pmbb_afr	LDpred-Inf	2.17	afr	eur
0.064	PRS1_ML	pmbb_afr	LDpred-Inf	2.17	afr	eur
0.065	PRS1_ML	pmbb_afr	LDpred-Inf	2.18	afr	eur
0.066	PRS1_ML	pmbb_afr	LDpred-Inf	2.18	afr	eur
0.067	PRS1_ML	pmbb_afr	LDpred-Inf	2.18	afr	eur
0.068	PRS1_ML	pmbb_afr	LDpred-Inf	2.18	afr	eur
0.069	PRS1_ML	pmbb_afr	LDpred-Inf	2.19	afr	eur
0.07	PRS1_ML	pmbb_afr	LDpred-Inf	2.19	afr	eur
0.071	PRS1_ML	pmbb_afr	LDpred-Inf	2.19	afr	eur
0.072	PRS1_ML	pmbb_afr	LDpred-Inf	2.19	afr	eur
0.073	PRS1_ML	pmbb_afr	LDpred-Inf	2.2	afr	eur
0.074	PRS1_ML	pmbb_afr	LDpred-Inf	2.2	afr	eur
0.075	PRS1_ML	pmbb_afr	LDpred-Inf	2.2	afr	eur
0.076	PRS1_ML	pmbb_afr	LDpred-Inf	2.2	afr	eur
0.077	PRS1_ML	pmbb_afr	LDpred-Inf	2.21	afr	eur
0.078	PRS1_ML	pmbb_afr	LDpred-Inf	2.21	afr	eur
0.079	PRS1_ML	pmbb_afr	LDpred-Inf	2.21	afr	eur
0.08	PRS1_ML	pmbb_afr	LDpred-Inf	2.21	afr	eur
0.081	PRS1_ML	pmbb_afr	LDpred-Inf	2.22	afr	eur
0.082	PRS1_ML	pmbb_afr	LDpred-Inf	2.22	afr	eur
0.083	PRS1_ML	pmbb_afr	LDpred-Inf	2.22	afr	eur
0.084	PRS1_ML	pmbb_afr	LDpred-Inf	2.23	afr	eur
0.085	PRS1_ML	pmbb_afr	LDpred-Inf	2.23	afr	eur
0.086	PRS1_ML	pmbb_afr	LDpred-Inf	2.23	afr	eur
0.087	PRS1_ML	pmbb_afr	LDpred-Inf	2.23	afr	eur
0.088	PRS1_ML	pmbb_afr	LDpred-Inf	2.24	afr	eur
0.089	PRS1_ML	pmbb_afr	LDpred-Inf	2.24	afr	eur
0.09	PRS1_ML	pmbb_afr	LDpred-Inf	2.24	afr	eur
0.091	PRS1_ML	pmbb_afr	LDpred-Inf	2.24	afr	eur
0.092	PRS1_ML	pmbb_afr	LDpred-Inf	2.25	afr	eur
0.093	PRS1_ML	pmbb_afr	LDpred-Inf	2.25	afr	eur
0.094	PRS1_ML	pmbb_afr	LDpred-Inf	2.25	afr	eur
0.095	PRS1_ML	pmbb_afr	LDpred-Inf	2.25	afr	eur
0.096	PRS1_ML	pmbb_afr	LDpred-Inf	2.26	afr	eur
0.097	PRS1_ML	pmbb_afr	LDpred-Inf	2.26	afr	eur
0.098	PRS1_ML	pmbb_afr	LDpred-Inf	2.26	afr	eur
0.099	PRS1_ML	pmbb_afr	LDpred-Inf	2.27	afr	eur
0.1	PRS1_ML	pmbb_afr	LDpred-Inf	2.27	afr	eur
0.101	PRS1_ML	pmbb_afr	LDpred-Inf	2.27	afr	eur
0.102	PRS1_ML	pmbb_afr	LDpred-Inf	2.27	afr	eur
0.103	PRS1_ML	pmbb_afr	LDpred-Inf	2.28	afr	eur
0.104	PRS1_ML	pmbb_afr	LDpred-Inf	2.28	afr	eur
0.105	PRS1_ML	pmbb_afr	LDpred-Inf	2.28	afr	eur
0.106	PRS1_ML	pmbb_afr	LDpred-Inf	2.28	afr	eur
0.107	PRS1_ML	pmbb_afr	LDpred-Inf	2.29	afr	eur
0.108	PRS1_ML	pmbb_afr	LDpred-Inf	2.29	afr	eur
0.109	PRS1_ML	pmbb_afr	LDpred-Inf	2.29	afr	eur
0.11	PRS1_ML	pmbb_afr	LDpred-Inf	2.3	afr	eur
0.111	PRS1_ML	pmbb_afr	LDpred-Inf	2.3	afr	eur
0.112	PRS1_ML	pmbb_afr	LDpred-Inf	2.3	afr	eur
0.113	PRS1_ML	pmbb_afr	LDpred-Inf	2.3	afr	eur
0.114	PRS1_ML	pmbb_afr	LDpred-Inf	2.31	afr	eur
0.115	PRS1_ML	pmbb_afr	LDpred-Inf	2.31	afr	eur
0.116	PRS1_ML	pmbb_afr	LDpred-Inf	2.31	afr	eur
0.117	PRS1_ML	pmbb_afr	LDpred-Inf	2.31	afr	eur
0.118	PRS1_ML	pmbb_afr	LDpred-Inf	2.32	afr	eur
0.119	PRS1_ML	pmbb_afr	LDpred-Inf	2.32	afr	eur
0.12	PRS1_ML	pmbb_afr	LDpred-Inf	2.32	afr	eur
0.121	PRS1_ML	pmbb_afr	LDpred-Inf	2.33	afr	eur
0.122	PRS1_ML	pmbb_afr	LDpred-Inf	2.33	afr	eur
0.123	PRS1_ML	pmbb_afr	LDpred-Inf	2.33	afr	eur
0.124	PRS1_ML	pmbb_afr	LDpred-Inf	2.33	afr	eur
0.125	PRS1_ML	pmbb_afr	LDpred-Inf	2.34	afr	eur
0.126	PRS1_ML	pmbb_afr	LDpred-Inf	2.34	afr	eur
0.127	PRS1_ML	pmbb_afr	LDpred-Inf	2.34	afr	eur
0.128	PRS1_ML	pmbb_afr	LDpred-Inf	2.34	afr	eur
0.129	PRS1_ML	pmbb_afr	LDpred-Inf	2.35	afr	eur
0.13	PRS1_ML	pmbb_afr	LDpred-Inf	2.35	afr	eur
0.131	PRS1_ML	pmbb_afr	LDpred-Inf	2.35	afr	eur
0.132	PRS1_ML	pmbb_afr	LDpred-Inf	2.36	afr	eur
0.133	PRS1_ML	pmbb_afr	LDpred-Inf	2.36	afr	eur
0.134	PRS1_ML	pmbb_afr	LDpred-Inf	2.36	afr	eur
0.135	PRS1_ML	pmbb_afr	LDpred-Inf	2.36	afr	eur
0.136	PRS1_ML	pmbb_afr	LDpred-Inf	2.37	afr	eur
0.137	PRS1_ML	pmbb_afr	LDpred-Inf	2.37	afr	eur
0.138	PRS1_ML	pmbb_afr	LDpred-Inf	2.37	afr	eur
0.139	PRS1_ML	pmbb_afr	LDpred-Inf	2.38	afr	eur
0.14	PRS1_ML	pmbb_afr	LDpred-Inf	2.38	afr	eur
0.141	PRS1_ML	pmbb_afr	LDpred-Inf	2.38	afr	eur
0.142	PRS1_ML	pmbb_afr	LDpred-Inf	2.38	afr	eur
0.143	PRS1_ML	pmbb_afr	LDpred-Inf	2.39	afr	eur
0.144	PRS1_ML	pmbb_afr	LDpred-Inf	2.39	afr	eur
0.145	PRS1_ML	pmbb_afr	LDpred-Inf	2.39	afr	eur
0.146	PRS1_ML	pmbb_afr	LDpred-Inf	2.39	afr	eur
0.147	PRS1_ML	pmbb_afr	LDpred-Inf	2.4	afr	eur
0.148	PRS1_ML	pmbb_afr	LDpred-Inf	2.4	afr	eur
0.149	PRS1_ML	pmbb_afr	LDpred-Inf	2.4	afr	eur
0.15	PRS1_ML	pmbb_afr	LDpred-Inf	2.41	afr	eur
0.151	PRS1_ML	pmbb_afr	LDpred-Inf	2.41	afr	eur
0.152	PRS1_ML	pmbb_afr	LDpred-Inf	2.41	afr	eur
0.153	PRS1_ML	pmbb_afr	LDpred-Inf	2.41	afr	eur
0.154	PRS1_ML	pmbb_afr	LDpred-Inf	2.42	afr	eur
0.155	PRS1_ML	pmbb_afr	LDpred-Inf	2.42	afr	eur
0.156	PRS1_ML	pmbb_afr	LDpred-Inf	2.42	afr	eur
0.157	PRS1_ML	pmbb_afr	LDpred-Inf	2.43	afr	eur
0.158	PRS1_ML	pmbb_afr	LDpred-Inf	2.43	afr	eur
0.159	PRS1_ML	pmbb_afr	LDpred-Inf	2.43	afr	eur
0.16	PRS1_ML	pmbb_afr	LDpred-Inf	2.43	afr	eur
0.161	PRS1_ML	pmbb_afr	LDpred-Inf	2.44	afr	eur
0.162	PRS1_ML	pmbb_afr	LDpred-Inf	2.44	afr	eur
0.163	PRS1_ML	pmbb_afr	LDpred-Inf	2.44	afr	eur
0.164	PRS1_ML	pmbb_afr	LDpred-Inf	2.45	afr	eur
0.165	PRS1_ML	pmbb_afr	LDpred-Inf	2.45	afr	eur
0.166	PRS1_ML	pmbb_afr	LDpred-Inf	2.45	afr	eur
0.167	PRS1_ML	pmbb_afr	LDpred-Inf	2.45	afr	eur
0.168	PRS1_ML	pmbb_afr	LDpred-Inf	2.46	afr	eur
0.169	PRS1_ML	pmbb_afr	LDpred-Inf	2.46	afr	eur
0.17	PRS1_ML	pmbb_afr	LDpred-Inf	2.46	afr	eur
0.171	PRS1_ML	pmbb_afr	LDpred-Inf	2.46	afr	eur
0.172	PRS1_ML	pmbb_afr	LDpred-Inf	2.47	afr	eur
0.173	PRS1_ML	pmbb_afr	LDpred-Inf	2.47	afr	eur
0.174	PRS1_ML	pmbb_afr	LDpred-Inf	2.47	afr	eur
0.175	PRS1_ML	pmbb_afr	LDpred-Inf	2.48	afr	eur
0.176	PRS1_ML	pmbb_afr	LDpred-Inf	2.48	afr	eur
0.177	PRS1_ML	pmbb_afr	LDpred-Inf	2.48	afr	eur
0.178	PRS1_ML	pmbb_afr	LDpred-Inf	2.48	afr	eur
0.179	PRS1_ML	pmbb_afr	LDpred-Inf	2.49	afr	eur
0.18	PRS1_ML	pmbb_afr	LDpred-Inf	2.49	afr	eur
0.181	PRS1_ML	pmbb_afr	LDpred-Inf	2.49	afr	eur
0.182	PRS1_ML	pmbb_afr	LDpred-Inf	2.5	afr	eur
0.183	PRS1_ML	pmbb_afr	LDpred-Inf	2.5	afr	eur
0.184	PRS1_ML	pmbb_afr	LDpred-Inf	2.5	afr	eur
0.185	PRS1_ML	pmbb_afr	LDpred-Inf	2.5	afr	eur
0.186	PRS1_ML	pmbb_afr	LDpred-Inf	2.51	afr	eur
0.187	PRS1_ML	pmbb_afr	LDpred-Inf	2.51	afr	eur
0.188	PRS1_ML	pmbb_afr	LDpred-Inf	2.51	afr	eur
0.189	PRS1_ML	pmbb_afr	LDpred-Inf	2.52	afr	eur
0.19	PRS1_ML	pmbb_afr	LDpred-Inf	2.52	afr	eur
0.191	PRS1_ML	pmbb_afr	LDpred-Inf	2.52	afr	eur
0.192	PRS1_ML	pmbb_afr	LDpred-Inf	2.52	afr	eur
0.193	PRS1_ML	pmbb_afr	LDpred-Inf	2.53	afr	eur
0.194	PRS1_ML	pmbb_afr	LDpred-Inf	2.53	afr	eur
0.195	PRS1_ML	pmbb_afr	LDpred-Inf	2.53	afr	eur
0.196	PRS1_ML	pmbb_afr	LDpred-Inf	2.54	afr	eur
0.197	PRS1_ML	pmbb_afr	LDpred-Inf	2.54	afr	eur
0.198	PRS1_ML	pmbb_afr	LDpred-Inf	2.54	afr	eur
0.199	PRS1_ML	pmbb_afr	LDpred-Inf	2.54	afr	eur
0.2	PRS1_ML	pmbb_afr	LDpred-Inf	2.55	afr	eur
0.201	PRS1_ML	pmbb_afr	LDpred-Inf	2.55	afr	eur
0.202	PRS1_ML	pmbb_afr	LDpred-Inf	2.55	afr	eur
0.203	PRS1_ML	pmbb_afr	LDpred-Inf	2.56	afr	eur
0.204	PRS1_ML	pmbb_afr	LDpred-Inf	2.56	afr	eur
0.205	PRS1_ML	pmbb_afr	LDpred-Inf	2.56	afr	eur
0.206	PRS1_ML	pmbb_afr	LDpred-Inf	2.56	afr	eur
0.207	PRS1_ML	pmbb_afr	LDpred-Inf	2.57	afr	eur
0.208	PRS1_ML	pmbb_afr	LDpred-Inf	2.57	afr	eur
0.209	PRS1_ML	pmbb_afr	LDpred-Inf	2.57	afr	eur
0.21	PRS1_ML	pmbb_afr	LDpred-Inf	2.58	afr	eur
0.211	PRS1_ML	pmbb_afr	LDpred-Inf	2.58	afr	eur
0.212	PRS1_ML	pmbb_afr	LDpred-Inf	2.58	afr	eur
0.213	PRS1_ML	pmbb_afr	LDpred-Inf	2.58	afr	eur
0.214	PRS1_ML	pmbb_afr	LDpred-Inf	2.59	afr	eur
0.215	PRS1_ML	pmbb_afr	LDpred-Inf	2.59	afr	eur
0.216	PRS1_ML	pmbb_afr	LDpred-Inf	2.59	afr	eur
0.217	PRS1_ML	pmbb_afr	LDpred-Inf	2.6	afr	eur
0.218	PRS1_ML	pmbb_afr	LDpred-Inf	2.6	afr	eur
0.219	PRS1_ML	pmbb_afr	LDpred-Inf	2.6	afr	eur
0.22	PRS1_ML	pmbb_afr	LDpred-Inf	2.6	afr	eur
0.221	PRS1_ML	pmbb_afr	LDpred-Inf	2.61	afr	eur
0.222	PRS1_ML	pmbb_afr	LDpred-Inf	2.61	afr	eur
0.223	PRS1_ML	pmbb_afr	LDpred-Inf	2.61	afr	eur
0.224	PRS1_ML	pmbb_afr	LDpred-Inf	2.62	afr	eur
0.225	PRS1_ML	pmbb_afr	LDpred-Inf	2.62	afr	eur
0.226	PRS1_ML	pmbb_afr	LDpred-Inf	2.62	afr	eur
0.227	PRS1_ML	pmbb_afr	LDpred-Inf	2.62	afr	eur
0.228	PRS1_ML	pmbb_afr	LDpred-Inf	2.63	afr	eur
0.229	PRS1_ML	pmbb_afr	LDpred-Inf	2.63	afr	eur
0.23	PRS1_ML	pmbb_afr	LDpred-Inf	2.63	afr	eur
0.231	PRS1_ML	pmbb_afr	LDpred-Inf	2.64	afr	eur
0.232	PRS1_ML	pmbb_afr	LDpred-Inf	2.64	afr	eur
0.233	PRS1_ML	pmbb_afr	LDpred-Inf	2.64	afr	eur
0.234	PRS1_ML	pmbb_afr	LDpred-Inf	2.64	afr	eur
0.235	PRS1_ML	pmbb_afr	LDpred-Inf	2.65	afr	eur
0.236	PRS1_ML	pmbb_afr	LDpred-Inf	2.65	afr	eur
0.237	PRS1_ML	pmbb_afr	LDpred-Inf	2.65	afr	eur
0.238	PRS1_ML	pmbb_afr	LDpred-Inf	2.66	afr	eur
0.239	PRS1_ML	pmbb_afr	LDpred-Inf	2.66	afr	eur
0.24	PRS1_ML	pmbb_afr	LDpred-Inf	2.66	afr	eur
0.241	PRS1_ML	pmbb_afr	LDpred-Inf	2.66	afr	eur
0.242	PRS1_ML	pmbb_afr	LDpred-Inf	2.67	afr	eur
0.243	PRS1_ML	pmbb_afr	LDpred-Inf	2.67	afr	eur
0.244	PRS1_ML	pmbb_afr	LDpred-Inf	2.67	afr	eur
0.245	PRS1_ML	pmbb_afr	LDpred-Inf	2.68	afr	eur
0.246	PRS1_ML	pmbb_afr	LDpred-Inf	2.68	afr	eur
0.247	PRS1_ML	pmbb_afr	LDpred-Inf	2.68	afr	eur
0.248	PRS1_ML	pmbb_afr	LDpred-Inf	2.68	afr	eur
0.249	PRS1_ML	pmbb_afr	LDpred-Inf	2.69	afr	eur
0.25	PRS1_ML	pmbb_afr	LDpred-Inf	2.69	afr	eur
0.251	PRS1_ML	pmbb_afr	LDpred-Inf	2.69	afr	eur
0.252	PRS1_ML	pmbb_afr	LDpred-Inf	2.7	afr	eur
0.253	PRS1_ML	pmbb_afr	LDpred-Inf	2.7	afr	eur
0.254	PRS1_ML	pmbb_afr	LDpred-Inf	2.7	afr	eur
0.255	PRS1_ML	pmbb_afr	LDpred-Inf	2.7	afr	eur
0.256	PRS1_ML	pmbb_afr	LDpred-Inf	2.71	afr	eur
0.257	PRS1_ML	pmbb_afr	LDpred-Inf	2.71	afr	eur
0.258	PRS1_ML	pmbb_afr	LDpred-Inf	2.71	afr	eur
0.259	PRS1_ML	pmbb_afr	LDpred-Inf	2.71	afr	eur
0.26	PRS1_ML	pmbb_afr	LDpred-Inf	2.72	afr	eur
0.261	PRS1_ML	pmbb_afr	LDpred-Inf	2.72	afr	eur
0.262	PRS1_ML	pmbb_afr	LDpred-Inf	2.72	afr	eur
0.263	PRS1_ML	pmbb_afr	LDpred-Inf	2.73	afr	eur
0.264	PRS1_ML	pmbb_afr	LDpred-Inf	2.73	afr	eur
0.265	PRS1_ML	pmbb_afr	LDpred-Inf	2.73	afr	eur
0.266	PRS1_ML	pmbb_afr	LDpred-Inf	2.73	afr	eur
0.267	PRS1_ML	pmbb_afr	LDpred-Inf	2.74	afr	eur
0.268	PRS1_ML	pmbb_afr	LDpred-Inf	2.74	afr	eur
0.269	PRS1_ML	pmbb_afr	LDpred-Inf	2.74	afr	eur
0.27	PRS1_ML	pmbb_afr	LDpred-Inf	2.75	afr	eur
0.271	PRS1_ML	pmbb_afr	LDpred-Inf	2.75	afr	eur
0.272	PRS1_ML	pmbb_afr	LDpred-Inf	2.75	afr	eur
0.273	PRS1_ML	pmbb_afr	LDpred-Inf	2.75	afr	eur
0.274	PRS1_ML	pmbb_afr	LDpred-Inf	2.76	afr	eur
0.275	PRS1_ML	pmbb_afr	LDpred-Inf	2.76	afr	eur
0.276	PRS1_ML	pmbb_afr	LDpred-Inf	2.76	afr	eur
0.277	PRS1_ML	pmbb_afr	LDpred-Inf	2.77	afr	eur
0.278	PRS1_ML	pmbb_afr	LDpred-Inf	2.77	afr	eur
0.279	PRS1_ML	pmbb_afr	LDpred-Inf	2.77	afr	eur
0.28	PRS1_ML	pmbb_afr	LDpred-Inf	2.77	afr	eur
0.281	PRS1_ML	pmbb_afr	LDpred-Inf	2.78	afr	eur
0.282	PRS1_ML	pmbb_afr	LDpred-Inf	2.78	afr	eur
0.283	PRS1_ML	pmbb_afr	LDpred-Inf	2.78	afr	eur
0.284	PRS1_ML	pmbb_afr	LDpred-Inf	2.78	afr	eur
0.285	PRS1_ML	pmbb_afr	LDpred-Inf	2.79	afr	eur
0.286	PRS1_ML	pmbb_afr	LDpred-Inf	2.79	afr	eur
0.287	PRS1_ML	pmbb_afr	LDpred-Inf	2.79	afr	eur
0.288	PRS1_ML	pmbb_afr	LDpred-Inf	2.8	afr	eur
0.289	PRS1_ML	pmbb_afr	LDpred-Inf	2.8	afr	eur
0.29	PRS1_ML	pmbb_afr	LDpred-Inf	2.8	afr	eur
0.291	PRS1_ML	pmbb_afr	LDpred-Inf	2.8	afr	eur
0.292	PRS1_ML	pmbb_afr	LDpred-Inf	2.81	afr	eur
0.293	PRS1_ML	pmbb_afr	LDpred-Inf	2.81	afr	eur
0.294	PRS1_ML	pmbb_afr	LDpred-Inf	2.81	afr	eur
0.295	PRS1_ML	pmbb_afr	LDpred-Inf	2.82	afr	eur
0.296	PRS1_ML	pmbb_afr	LDpred-Inf	2.82	afr	eur
0.297	PRS1_ML	pmbb_afr	LDpred-Inf	2.82	afr	eur
0.298	PRS1_ML	pmbb_afr	LDpred-Inf	2.82	afr	eur
0.299	PRS1_ML	pmbb_afr	LDpred-Inf	2.83	afr	eur
0.3	PRS1_ML	pmbb_afr	LDpred-Inf	2.83	afr	eur
0.301	PRS1_ML	pmbb_afr	LDpred-Inf	2.83	afr	eur
0.302	PRS1_ML	pmbb_afr	LDpred-Inf	2.83	afr	eur
0.303	PRS1_ML	pmbb_afr	LDpred-Inf	2.84	afr	eur
0.304	PRS1_ML	pmbb_afr	LDpred-Inf	2.84	afr	eur
0.305	PRS1_ML	pmbb_afr	LDpred-Inf	2.84	afr	eur
0.306	PRS1_ML	pmbb_afr	LDpred-Inf	2.84	afr	eur
0.307	PRS1_ML	pmbb_afr	LDpred-Inf	2.85	afr	eur
0.308	PRS1_ML	pmbb_afr	LDpred-Inf	2.85	afr	eur
0.309	PRS1_ML	pmbb_afr	LDpred-Inf	2.85	afr	eur
0.31	PRS1_ML	pmbb_afr	LDpred-Inf	2.86	afr	eur
0.311	PRS1_ML	pmbb_afr	LDpred-Inf	2.86	afr	eur
0.312	PRS1_ML	pmbb_afr	LDpred-Inf	2.86	afr	eur
0.313	PRS1_ML	pmbb_afr	LDpred-Inf	2.86	afr	eur
0.314	PRS1_ML	pmbb_afr	LDpred-Inf	2.87	afr	eur
0.315	PRS1_ML	pmbb_afr	LDpred-Inf	2.87	afr	eur
0.316	PRS1_ML	pmbb_afr	LDpred-Inf	2.87	afr	eur
0.317	PRS1_ML	pmbb_afr	LDpred-Inf	2.87	afr	eur
0.318	PRS1_ML	pmbb_afr	LDpred-Inf	2.88	afr	eur
0.319	PRS1_ML	pmbb_afr	LDpred-Inf	2.88	afr	eur
0.32	PRS1_ML	pmbb_afr	LDpred-Inf	2.88	afr	eur
0.321	PRS1_ML	pmbb_afr	LDpred-Inf	2.88	afr	eur
0.322	PRS1_ML	pmbb_afr	LDpred-Inf	2.89	afr	eur
0.323	PRS1_ML	pmbb_afr	LDpred-Inf	2.89	afr	eur
0.324	PRS1_ML	pmbb_afr	LDpred-Inf	2.89	afr	eur
0.325	PRS1_ML	pmbb_afr	LDpred-Inf	2.9	afr	eur
0.326	PRS1_ML	pmbb_afr	LDpred-Inf	2.9	afr	eur
0.327	PRS1_ML	pmbb_afr	LDpred-Inf	2.9	afr	eur
0.328	PRS1_ML	pmbb_afr	LDpred-Inf	2.9	afr	eur
0.329	PRS1_ML	pmbb_afr	LDpred-Inf	2.91	afr	eur
0.33	PRS1_ML	pmbb_afr	LDpred-Inf	2.91	afr	eur
0.331	PRS1_ML	pmbb_afr	LDpred-Inf	2.91	afr	eur
0.332	PRS1_ML	pmbb_afr	LDpred-Inf	2.91	afr	eur
0.333	PRS1_ML	pmbb_afr	LDpred-Inf	2.92	afr	eur
0.334	PRS1_ML	pmbb_afr	LDpred-Inf	2.92	afr	eur
0.335	PRS1_ML	pmbb_afr	LDpred-Inf	2.92	afr	eur
0.336	PRS1_ML	pmbb_afr	LDpred-Inf	2.92	afr	eur
0.337	PRS1_ML	pmbb_afr	LDpred-Inf	2.93	afr	eur
0.338	PRS1_ML	pmbb_afr	LDpred-Inf	2.93	afr	eur
0.339	PRS1_ML	pmbb_afr	LDpred-Inf	2.93	afr	eur
0.34	PRS1_ML	pmbb_afr	LDpred-Inf	2.93	afr	eur
0.341	PRS1_ML	pmbb_afr	LDpred-Inf	2.94	afr	eur
0.342	PRS1_ML	pmbb_afr	LDpred-Inf	2.94	afr	eur
0.343	PRS1_ML	pmbb_afr	LDpred-Inf	2.94	afr	eur
0.344	PRS1_ML	pmbb_afr	LDpred-Inf	2.94	afr	eur
0.345	PRS1_ML	pmbb_afr	LDpred-Inf	2.95	afr	eur
0.346	PRS1_ML	pmbb_afr	LDpred-Inf	2.95	afr	eur
0.347	PRS1_ML	pmbb_afr	LDpred-Inf	2.95	afr	eur
0.348	PRS1_ML	pmbb_afr	LDpred-Inf	2.95	afr	eur
0.349	PRS1_ML	pmbb_afr	LDpred-Inf	2.96	afr	eur
0.35	PRS1_ML	pmbb_afr	LDpred-Inf	2.96	afr	eur
0.351	PRS1_ML	pmbb_afr	LDpred-Inf	2.96	afr	eur
0.352	PRS1_ML	pmbb_afr	LDpred-Inf	2.96	afr	eur
0.353	PRS1_ML	pmbb_afr	LDpred-Inf	2.97	afr	eur
0.354	PRS1_ML	pmbb_afr	LDpred-Inf	2.97	afr	eur
0.355	PRS1_ML	pmbb_afr	LDpred-Inf	2.97	afr	eur
0.356	PRS1_ML	pmbb_afr	LDpred-Inf	2.97	afr	eur
0.357	PRS1_ML	pmbb_afr	LDpred-Inf	2.98	afr	eur
